Columns	ConvolutionKernel	FrameOfReferenceUID	ImageOrientationPatient	ImagePositionPatient	PixelSpacing	ReconstructionMethod	Rows	SOPInstanceUID	SliceThickness
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-85.521	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.233972632963291993848719809943	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-591.771	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.237213571640210890764518479928	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-196.896	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.238531769590221619595439384929	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-186.771	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.238777363606173066889564209612	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-288.021	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.240073968708483940295975371290	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-126.021	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.240137635289422078978507069270	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-568.146	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.240587870331814981883388257466	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-65.271	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.245182534899063976016916250878	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-473.646	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.246531625735053924469816527699	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-595.146	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.247233839341081832614675240302	3.3750001
